Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
310	-3547568	-3547595	26.74196	0.00217438	0.00183416	0.0205894	0.00467839	0.0992658	0.0342316	0.0114628	0.0886551	0.0506297	0.00858918	0.161061	0.00385416	0.0018376	0.0174352	0.642286	0.0155567	0.0067514	0.0279843	0.00601352	3.61482e-06	0.0127617	0.00963844	0.0049956	0.11259	0.0193821	0.00784969	0.00814929	0.00615482	0.00537519	0.271687	0	0.227961	0.229256	0	0.271096	0.271687	0.227961	0.229256	0.271096	0.283787	0.215811	0.216614	0.283788	1.39179
320	-3547562	-3547589	26.75813	0.0021496	0.00183416	0.0207873	0.00467839	0.0989469	0.0336758	0.0114628	0.0886551	0.0506297	0.00844199	0.161061	0.00385416	0.0018376	0.0174352	0.642286	0.0155567	0.0066301	0.0275284	0.00593959	2.4709e-06	0.0129008	0.00978137	0.0049956	0.11259	0.0193821	0.00784969	0.00822528	0.00588289	0.00517334	0.271687	0	0.227961	0.229256	0	0.271096	0.271687	0.227961	0.229256	0.271096	0.283787	0.215811	0.216614	0.283788	1.390174
330	-3547572	-3547599	26.75141	0.0021496	0.0018301	0.0207873	0.00467839	0.0989469	0.0336758	0.0119614	0.0885621	0.0506297	0.00844199	0.161061	0.00385416	0.0017573	0.0174352	0.642286	0.0155567	0.0066301	0.0274472	0.00593959	4.53222e-06	0.0131279	0.00978137	0.00535603	0.11259	0.0193821	0.00777066	0.00822528	0.0058043	0.00517334	0.271687	0	0.227961	0.229256	0	0.271096	0.271687	0.227961	0.229256	0.271096	0.283787	0.215811	0.216614	0.283788	1.390846
340	-3547573	-3547600	26.74729	0.00213584	0.00183856	0.0207873	0.00472349	0.0989469	0.0336758	0.0115205	0.0889819	0.0511678	0.00844199	0.161061	0.00385416	0.00175616	0.0174352	0.642286	0.0152804	0.00673847	0.028138	0.00580478	1.29704e-05	0.0125613	0.00978137	0.00508972	0.112966	0.0193821	0.00751992	0.00822528	0.00599056	0.00515425	0.271687	0	0.227961	0.229256	0	0.271096	0.271687	0.227961	0.229256	0.271096	0.283787	0.215811	0.216614	0.283788	1.391257
350	-3547567	-3547594	26.73448	0.00224836	0.00196344	0.0207848	0.00457359	0.0989469	0.0341915	0.0115064	0.0889819	0.0511678	0.00845563	0.161061	0.00379624	0.00183063	0.0174352	0.642286	0.0152804	0.00673847	0.028138	0.0059399	3.42651e-06	0.0128898	0.00978137	0.00508972	0.112966	0.0193821	0.00751992	0.00822528	0.005997	0.00535772	0.271687	0	0.227961	0.229256	0	0.271096	0.271687	0.227961	0.229256	0.271096	0.283787	0.215811	0.216614	0.283788	1.392538
360	-3547569	-3547596	26.73847	0.00224836	0.00182769	0.0207848	0.00457359	0.0989469	0.0341915	0.0114177	0.0889819	0.0511678	0.00845563	0.161061	0.00371997	0.00188791	0.0174081	0.642286	0.0152188	0.00665948	0.0274859	0.00612423	1.20852e-05	0.0132559	0.00978137	0.00504097	0.112878	0.0193821	0.00780652	0.00822528	0.005997	0.00531372	0.271687	0	0.227961	0.229256	0	0.271096	0.271687	0.227961	0.229256	0.271096	0.283787	0.215811	0.216614	0.283788	1.392139
370	-3547569	-3547596	26.69744	0.00223589	0.00182769	0.0210044	0.00467532	0.0989469	0.0341915	0.0114177	0.0889819	0.0511678	0.00857773	0.161061	0.00403854	0.00188334	0.0174081	0.645936	0.0152188	0.00665948	0.0276932	0.00599957	1.30767e-05	0.0132559	0.0097315	0.00481446	0.112878	0.0193821	0.00770725	0.00822528	0.005997	0.00531372	0.27171	0	0.227981	0.22919	0	0.271119	0.27171	0.227981	0.22919	0.271119	0.283787	0.215811	0.216614	0.283788	1.396242
380	-3547569	-3547596	26.71449	0.00223589	0.00191065	0.0210044	0.00454514	0.0978463	0.0341915	0.0114177	0.0887068	0.0511678	0.00855106	0.161292	0.00366009	0.00176107	0.0174081	0.645936	0.0152188	0.00690545	0.0276932	0.00601316	2.74903e-06	0.0132559	0.0097315	0.00481446	0.112878	0.0193821	0.00767335	0.00822528	0.005997	0.0051128	0.271344	0	0.229022	0.228881	0	0.270754	0.271344	0.229022	0.228881	0.270754	0.283787	0.215811	0.216614	0.283788	1.394537
390	-3547568	-3547595	26.70235	0.00212203	0.00178077	0.0211246	0.00474375	0.0978463	0.0341915	0.0114177	0.0887068	0.0511678	0.00861378	0.161292	0.00380146	0.00183752	0.0176677	0.645936	0.0155132	0.00686404	0.0275263	0.00603915	3.28951e-06	0.0132559	0.0097315	0.00486233	0.112878	0.0197195	0.00767335	0.00822528	0.0058477	0.00536259	0.270923	0	0.229154	0.229013	0	0.27091	0.270923	0.229154	0.229013	0.27091	0.283787	0.215811	0.216614	0.283788	1.395751
400	-3547570	-3547596	26.70675	0.00220812	0.00172356	0.0211246	0.0048263	0.0978463	0.0341915	0.0112015	0.0887068	0.0511678	0.00839346	0.161292	0.00380146	0.00180956	0.0176677	0.645936	0.0155132	0.00686404	0.0275263	0.00579553	8.22795e-06	0.0132409	0.00969904	0.00515496	0.112878	0.0196269	0.00767141	0.00822664	0.0058477	0.00536259	0.270923	0	0.229154	0.229013	0	0.27091	0.270923	0.229154	0.229013	0.27091	0.283787	0.215811	0.216614	0.283788	1.395311
410	-3547566	-3547593	26.71849	0.00213917	0.00187345	0.0211246	0.00458633	0.0978463	0.0341915	0.0113152	0.0891554	0.0494943	0.00852899	0.161292	0.00381999	0.00178381	0.0174168	0.645936	0.0155132	0.00686404	0.0275645	0.00579553	1.12626e-05	0.0132409	0.00984534	0.00500545	0.112966	0.0196728	0.00788492	0.00822638	0.00589798	0.00514517	0.270923	0	0.229154	0.229013	0	0.27091	0.270923	0.229154	0.229013	0.27091	0.283787	0.215811	0.216614	0.283788	1.394137
420	-3547573	-3547600	26.72913	0.00213917	0.00192585	0.0208256	0.00453998	0.0978463	0.0339186	0.0112493	0.0891554	0.0494943	0.00856391	0.161292	0.00389492	0.00192871	0.017273	0.645936	0.0155132	0.0066697	0.0275645	0.00579553	2.04598e-05	0.0132427	0.00955981	0.0051472	0.112316	0.0196728	0.00768858	0.00833097	0.00638072	0.00518894	0.270528	0	0.229278	0.229137	0	0.271057	0.270528	0.229278	0.229137	0.271057	0.283787	0.215811	0.216614	0.283788	1.393073
430	-3547575	-3547602	26.73439	0.00213917	0.00191515	0.0208256	0.00448893	0.0978463	0.0334615	0.0115617	0.0894631	0.0494943	0.00897117	0.160606	0.00388776	0.00192841	0.0174267	0.645936	0.0155132	0.0066697	0.027547	0.005803	8.09971e-06	0.0132626	0.00987542	0.0051472	0.112458	0.0195119	0.00780465	0.00796737	0.00588024	0.00514771	0.270528	0	0.229278	0.229137	0	0.271057	0.270528	0.229278	0.229137	0.271057	0.283648	0.216195	0.216508	0.283649	1.392547
