Iteration	Posterior	Likelihood	Prior	birth	clock_morpho	clock_nuclear	death	diversification	divtime_dirus	divtime_jackals	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_transv[1]	er_transv[2]	er_transv[3]	er_transv[4]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	pi[1]	pi[2]	pi[3]	pi[4]	pi_scale	psi	root_time	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
3200	-2603066	-2602106	-959.418	0.7531565	1.468687	0.04563711	0.4619013	0.2912552	1.792299	1.792299	0.273502	0	0.22907	0.226427	0	0.271001	0.273502	0.22907	0.226427	0.271001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282724	0.216195	0.217104	0.283977	0.6872025	0.1708876	11.12664	1.81218	5.71354	7.28736	6.66785	4.42718	4.77631	0.403419	2.19241	0.609609	1.06516	2.13146	5.02883	0.619463	0.6132873
3300	-2603070	-2602107	-963.0797	0.4947422	1.604076	0.04561282	0.2577207	0.2370215	1.804554	1.804554	0.271152	0	0.228807	0.226167	0	0.273874	0.271152	0.228807	0.226167	0.273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283716	0.216447	0.21644	0.283397	0.7844998	0.2968878	26.32009	4.32681	0.839344	8.93049	4.31978	0.618119	0.0805058	1.552	2.53231	1.75925	1.67359	1.95179	0.94615	1.35441	0.5209192
3400	-2603071	-2602106	-964.6629	0.5240671	7.580591	0.04550441	0.1595876	0.3644795	1.804554	1.804554	0.272847	0	0.229935	0.226401	0	0.270817	0.272847	0.229935	0.226401	0.270817	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28239	0.216707	0.217139	0.283764	0.7137369	0.2312939	11.8387	0.411027	2.17018	8.13032	1.94683	1.52464	1.3785	0.880588	2.42892	0.545914	1.63011	4.10113	2.49608	1.5332	0.3045175
3500	-2603061	-2602104	-957.0845	0.548308	1.629949	0.04568702	0.07699635	0.4713117	1.799739	1.799739	0.27208	0	0.229768	0.226977	0	0.271176	0.27208	0.229768	0.226977	0.271176	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283361	0.216769	0.216837	0.283032	0.6769465	0.210619	28.93572	0.353272	1.72529	8.44398	1.94244	1.62535	2.14353	0.999671	1.39686	1.58168	0.81364	3.3236	1.15868	3.2814	0.1404254
3600	-2603070	-2602108	-961.9643	0.6212206	2.364671	0.04557161	0.237218	0.3840025	1.799739	1.799739	0.272607	0	0.230155	0.225287	0	0.271951	0.272607	0.230155	0.225287	0.271951	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282699	0.216295	0.2169	0.284106	0.5957623	0.2357258	19.49813	7.58588	0.186756	7.23912	3.07253	4.6522	1.39461	1.22853	2.49224	1.77341	1.4476	3.34193	0.767816	0.950858	0.381858
3700	-2603077	-2602112	-965.2754	0.5759235	1.999149	0.04574064	0.1641381	0.4117854	1.793102	1.793102	0.271596	0	0.230748	0.226494	0	0.271163	0.271596	0.230748	0.226494	0.271163	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283056	0.216988	0.216891	0.283064	0.6622607	0.1454016	10.76745	8.48068	0.762986	6.41775	7.27258	1.27422	0.383171	0.949522	2.55953	2.477	0.633711	4.73698	2.98527	2.0398	0.2849998
3800	-2603074	-2602109	-965.3983	0.6517279	3.21187	0.04574768	0.2498791	0.4018488	1.789811	1.789811	0.270842	0	0.229059	0.22721	0	0.272889	0.270842	0.229059	0.22721	0.272889	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283351	0.217161	0.21549	0.283998	0.7009728	0.1221037	21.58734	5.44741	0.886263	7.63523	6.237	0.0854056	0.413738	0.839035	1.88331	0.804815	1.77909	3.31905	0.165998	5.0289	0.3834101
3900	-2603064	-2602104	-960.524	0.3545754	5.600265	0.04585613	0.01389624	0.3406791	1.789811	1.789811	0.271745	0	0.229122	0.226389	0	0.272744	0.271745	0.229122	0.226389	0.272744	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282928	0.216844	0.216431	0.283796	0.7389763	0.2221395	21.83247	0.049895	1.52769	5.93964	4.91077	4.75206	1.12836	0.34922	0.931749	0.891706	0.714343	4.24236	3.50763	1.98783	0.03919122
4000	-2603071	-2602104	-967.0171	0.5845019	4.214105	0.04575264	0.1396162	0.4448857	1.78228	1.78228	0.271932	0	0.229123	0.227129	0	0.271816	0.271932	0.229123	0.227129	0.271816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283805	0.216051	0.216343	0.283801	0.7282715	0.1377217	22.80148	0.452878	6.63022	6.46227	1.83251	2.08554	2.35865	0.804725	1.90504	0.871889	1.49985	2.9888	3.50385	2.16171	0.2388635
4100	-2603073	-2602110	-962.398	0.4975395	2.269633	0.04597407	0.07024904	0.4272904	1.785871	1.785871	0.273752	0	0.229133	0.226095	0	0.271021	0.273752	0.229133	0.226095	0.271021	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282986	0.216602	0.216916	0.283496	0.6169399	0.1972627	15.18715	0.995377	4.75774	6.02231	3.18228	4.14388	4.3004	1.07978	1.64239	1.11306	2.24258	1.89092	3.70734	2.48865	0.1411929
4200	-2603062	-2602106	-955.7761	0.9180547	1.648217	0.0457106	0.1603368	0.7577179	1.793436	1.793436	0.273219	0	0.22965	0.225797	0	0.271334	0.273219	0.22965	0.225797	0.271334	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283017	0.217021	0.216355	0.283607	0.7417624	0.2489421	20.04271	0.369445	0.84639	7.67972	4.29894	1.29344	4.18954	0.532961	0.95492	0.656827	1.97059	1.98055	2.56954	7.67359	0.1746484
4300	-2603068	-2602105	-962.9103	0.3155164	2.948293	0.04594001	0.03636736	0.279149	1.786103	1.786103	0.273056	0	0.228925	0.226255	0	0.271764	0.273056	0.228925	0.226255	0.271764	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283168	0.21648	0.216635	0.283716	0.7461978	0.266221	29.32539	1.00675	0.0174349	7.53926	7.41806	0.904738	2.59054	0.870886	1.44616	0.132958	0.387773	4.47775	2.48452	0.308148	0.115263
4400	-2603055	-2602102	-953.1986	0.5359769	2.403816	0.04578783	0.2235564	0.3124205	1.792006	1.792006	0.272437	0	0.228832	0.226353	0	0.272377	0.272437	0.228832	0.226353	0.272377	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282851	0.216688	0.217013	0.283448	0.7276061	0.3298266	27.90165	0.126001	6.93709	6.86366	5.55409	1.2629	1.59187	1.20045	0.894464	1.13014	1.29051	4.74183	5.21476	0.546352	0.4171007
4500	-2603061	-2602106	-954.897	0.5017025	3.529086	0.04589493	0.05721763	0.4444848	1.797873	1.797873	0.272837	0	0.229394	0.226953	0	0.270816	0.272837	0.229394	0.226953	0.270816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28372	0.216205	0.216527	0.283547	0.7229408	0.418543	22.08816	0.138851	7.45186	7.52084	4.84372	0.37733	1.48304	0.360385	2.31585	1.34345	0.80834	3.86947	1.78978	1.31514	0.1140469
4600	-2603073	-2602111	-962.0668	0.3946078	1.430962	0.04575745	0.06823159	0.3263762	1.797821	1.797821	0.269765	0	0.230459	0.226416	0	0.273359	0.269765	0.230459	0.226416	0.273359	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283703	0.216027	0.216924	0.283347	0.5804644	0.1356153	11.37406	2.17785	1.15165	6.98185	3.88641	2.34461	0.535938	1.69471	1.03649	1.60008	1.58426	4.27911	2.44768	0.428235	0.1729099
4700	-2603069	-2602104	-964.9171	0.3879795	2.777339	0.04563175	0.0834752	0.3045043	1.804144	1.804144	0.271802	0	0.228951	0.22671	0	0.272537	0.271802	0.228951	0.22671	0.272537	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282891	0.215937	0.216713	0.284458	0.6060425	0.1483314	14.40178	1.0478	4.13565	7.29049	6.42442	2.06396	1.20741	0.651967	2.38444	2.00992	3.12771	3.94764	3.62059	1.19311	0.2151536
4800	-2603071	-2602111	-960.6533	0.7045256	2.573739	0.04544063	0.1253751	0.5791505	1.796255	1.796255	0.271474	0	0.229601	0.227725	0	0.2712	0.271474	0.229601	0.227725	0.2712	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283369	0.216703	0.216016	0.283913	0.7870812	0.1692894	13.16093	11.2035	5.59044	6.47221	3.33916	0.0718613	2.12965	1.16295	2.402	1.97135	1.48004	2.93421	3.45257	0.897195	0.1779567
4900	-2603070	-2602105	-965.0859	0.6651136	2.87001	0.04564183	0.3962577	0.2688559	1.798813	1.798813	0.272925	0	0.229674	0.22559	0	0.271812	0.272925	0.229674	0.22559	0.271812	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283095	0.2163	0.216333	0.284273	0.5542106	0.2234457	10.1341	9.87507	4.91619	6.26479	4.76598	0.162732	1.62875	0.467784	1.90834	0.227527	2.21974	3.01816	4.12112	0.876814	0.5957744
5000	-2603063	-2602109	-953.7148	0.4993177	3.239564	0.04563569	0.05454727	0.4447704	1.794495	1.794495	0.272798	0	0.229769	0.226492	0	0.270941	0.272798	0.229769	0.226492	0.270941	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282939	0.216185	0.216542	0.284333	0.652721	0.2883609	11.52256	11.1528	2.90985	5.67738	2.04181	3.02356	1.81738	0.330905	0.849976	1.00746	2.83444	2.32781	4.51367	0.708392	0.1092436
5100	-2603055	-2602104	-950.6862	0.5641168	2.001488	0.04568512	0.02231565	0.5418012	1.795009	1.795009	0.270976	0	0.230689	0.225838	0	0.272497	0.270976	0.230689	0.225838	0.272497	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282907	0.216788	0.216989	0.283315	0.8097848	0.4005146	18.08669	9.77048	0.92994	7.06267	8.26456	2.10139	0.90185	0.303408	0.851288	0.741719	1.20495	3.67896	2.26203	0.376157	0.03955857
5200	-2603077	-2602109	-968.0174	0.5113	6.264247	0.04560538	0.2762262	0.2350738	1.798922	1.798922	0.270726	0	0.229635	0.225914	0	0.273725	0.270726	0.229635	0.225914	0.273725	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282919	0.217676	0.216085	0.28332	0.6180541	0.1854711	13.19078	11.6025	0.204461	6.3103	3.32067	2.6123	0.865629	0.733544	1.75007	1.41119	2.47523	4.64654	0.237968	0.690999	0.5402429
5300	-2603072	-2602110	-962.7072	0.7913534	2.265224	0.0455702	0.2414277	0.5499257	1.791213	1.791213	0.272408	0	0.230695	0.225363	0	0.271534	0.272408	0.230695	0.225363	0.271534	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282515	0.215956	0.21729	0.284239	0.682388	0.1939461	26.54178	10.8485	0.910105	5.15043	2.20239	3.14018	0.603294	1.01946	1.04701	0.48602	1.27963	2.53361	0.318148	1.85367	0.305082
