Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
300	-3547588	-3547612	23.80055	1e+08	0	0.00211194	0.00188594	0.0210419	0.0046375	0.099253	0.0338441	0.0112668	0.0887581	0.0502885	0.00841173	0.162158	0.00393822	0.00188531	0.0177638	0.647977	0.0154873	0.0196567	0.112196	0.0128878	7.95992e-06	0.0083211	0.00546338	0.00978694	0.0278925	0.00782526	0.00593792	0.00505691	0.00672125	0.00620525	0.272671	0	0.230812	0.229396	0	0.267121	0.272671	0.230812	0.229396	0.267121	0.5700502	0.282806	0.216147	0.217102	0.283945	5	0.999873	0.999968	1.00003	1.00013	1.398668
310	-3547602	-3547607	4.813148	7.495933e+07	1	0.00211194	0.00188594	0.0210419	0.0046375	0.099253	0.0338441	0.0112668	0.0887581	0.0502885	0.00853828	0.162158	0.00388538	0.00188531	0.0177638	0.647977	0.0154873	0.0196567	0.112196	0.0128878	2.29096e-06	0.0083211	0.00522709	0.00978694	0.0278925	0.00782526	0.00593792	0.00505691	0.00672125	0.00599613	0.272671	0	0.230812	0.229396	0	0.267121	0.272671	0.230812	0.229396	0.267121	1.140543	0.282806	0.216147	0.217102	0.283945	5	0.999853	0.999963	1.00004	1.00015	1.398291
320	-3547570	-3547594	24.14196	1e+08	0	0.00211194	0.00188594	0.0210419	0.0046375	0.099253	0.0338441	0.0112668	0.0888391	0.0502885	0.00850245	0.162158	0.00385241	0.00188531	0.0177638	0.646067	0.0153773	0.0196567	0.112196	0.0128878	1.7217e-06	0.0083211	0.00522709	0.00978694	0.0278925	0.00782526	0.00596176	0.00505691	0.00672125	0.00599613	0.270634	0	0.229088	0.227683	0	0.272595	0.270634	0.229088	0.227683	0.272595	0.2522617	0.282806	0.216147	0.217102	0.283945	5	0.999873	0.999968	1.00003	1.00013	1.396306
330	-3547568	-3547592	24.15115	1e+08	0	0.00211194	0.00191817	0.0210419	0.0046375	0.099253	0.0338441	0.0112668	0.0888391	0.0502885	0.00850245	0.162158	0.00385241	0.00188531	0.0177638	0.646067	0.0153773	0.0196567	0.112196	0.0128878	1.28848e-06	0.00813539	0.00529392	0.00978694	0.0278925	0.00782526	0.00596176	0.00505691	0.00672125	0.00599613	0.270634	0	0.229088	0.227683	0	0.272595	0.270634	0.229088	0.227683	0.272595	0.2439352	0.283515	0.215933	0.216888	0.283664	5	0.999873	0.999968	1.00003	1.00013	1.396219
340	-3547586	-3547592	5.911591	9.181539e+07	1	0.00220967	0.00198893	0.0210419	0.0046375	0.0985928	0.0338441	0.0112668	0.0888391	0.0502885	0.00850245	0.162158	0.00388111	0.00188531	0.0175678	0.646067	0.0153773	0.0196567	0.112196	0.0128878	9.15485e-07	0.00813539	0.00533127	0.00978694	0.0278925	0.00782526	0.00596176	0.00505691	0.00657368	0.00604965	0.270634	0	0.229088	0.227683	0	0.272595	0.270634	0.229088	0.227683	0.272595	0.06998038	0.283515	0.215933	0.216888	0.283664	5	0.999867	0.999966	1.00003	1.00013	1.395503
350	-3547570	-3547594	24.13702	1e+08	0	0.00222755	0.00189121	0.0210419	0.0046375	0.0985928	0.0338441	0.0112668	0.0895076	0.0502885	0.00850245	0.162158	0.00388111	0.00188531	0.0175678	0.646067	0.0153773	0.0195136	0.112196	0.0128878	1.27669e-06	0.00811571	0.00533127	0.00978694	0.0278925	0.00782526	0.00581536	0.00523209	0.00657368	0.00614213	0.270634	0	0.229088	0.227683	0	0.272595	0.270634	0.229088	0.227683	0.272595	0.2597547	0.283515	0.215933	0.216888	0.283664	5	0.999873	0.999968	1.00003	1.00013	1.39605
360	-3547594	-3547599	5.082386	1.8312e+07	1	0.00212398	0.00189121	0.0210419	0.00458252	0.0985928	0.0341915	0.0115029	0.0895076	0.0502885	0.00850245	0.162158	0.00372754	0.00188531	0.0174596	0.646067	0.0153773	0.0195136	0.112196	0.0130929	1.54872e-06	0.00777479	0.00521361	0.00978694	0.0280231	0.00782526	0.00581536	0.00520243	0.00662943	0.00614213	0.270634	0	0.229088	0.227683	0	0.272595	0.270634	0.229088	0.227683	0.272595	0.8930428	0.283515	0.215933	0.216888	0.283664	5	0.999703	0.999924	1.00008	1.0003	1.396117
370	-3547575	-3547599	23.48842	1e+08	0	0.00210844	0.00189121	0.0210419	0.00459384	0.0985928	0.0341915	0.0115029	0.0895076	0.0502885	0.00850245	0.162158	0.00379109	0.00188531	0.0174596	0.646067	0.0153773	0.0195136	0.112196	0.0130929	1.36066e-06	0.00777479	0.00521361	0.00978694	0.0280231	0.00782526	0.00581536	0.00497339	0.00662943	0.00614213	0.270634	0	0.229088	0.227683	0	0.272595	0.270634	0.229088	0.227683	0.272595	0.9093913	0.283515	0.215933	0.216888	0.283664	5	0.999873	0.999968	1.00003	1.00013	1.395947
380	-3547585	-3547591	5.961646	9657335	1	0.00210844	0.00189121	0.0210419	0.00459384	0.0985928	0.0341915	0.0115029	0.0886961	0.0502885	0.00850388	0.162158	0.00379109	0.00188531	0.0174596	0.646067	0.0153773	0.0195136	0.112196	0.0130929	8.60338e-07	0.00808289	0.00521361	0.00978694	0.0280231	0.00782526	0.00581536	0.00505469	0.00686072	0.00596492	0.270634	0	0.229088	0.227683	0	0.272595	0.270634	0.229088	0.227683	0.272595	0.01915374	0.283515	0.215933	0.216888	0.283664	5	0.999591	0.999896	1.0001	1.00041	1.39558
390	-3547587	-3547593	5.89986	9.334381e+07	1	0.00210844	0.00195886	0.0210419	0.00459384	0.0989989	0.0341915	0.0115029	0.0886961	0.0502885	0.00850388	0.162158	0.00379109	0.00188531	0.0174596	0.646067	0.0157488	0.0195136	0.112196	0.0130929	1.16493e-06	0.00822156	0.00521361	0.00978694	0.0280231	0.00761511	0.0057932	0.00505469	0.00668929	0.00596492	0.270634	0	0.229088	0.227683	0	0.272595	0.270634	0.229088	0.227683	0.272595	0.07513438	0.283515	0.215933	0.216888	0.283664	5	0.999868	0.999967	1.00003	1.00013	1.39616
