
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd.Rev")
   Processing file "scripts/combined_evidence_fbd.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 51 different moves in a random move schedule with 115 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   clock_morp..      |clock_morp..      |clock_morp..   |   clock_nucl..   |      root_time   |    elapsed   |        ETA   |
6400        |   -2.61239e+06   |   -2.60211e+06   |       -10281.7   |        12.1797      |     12.7006      |      1.3311   |      0.2466903   |       14.77818   |   04:41:17   |   68:33:46   |
6500        |   -2.61239e+06   |   -2.60211e+06   |       -10284.1   |          10.98      |     13.7043      |      1.2478   |      0.2465757   |       13.64606   |   04:45:48   |   68:31:07   |
6600        |   -2.61242e+06   |   -2.60211e+06   |       -10315.3   |        14.5813      |     13.2819      |     1.13143   |      0.2468039   |       14.18715   |   04:50:12   |   68:26:46   |
6700        |   -2.61241e+06   |   -2.60211e+06   |       -10302.8   |         13.102      |     11.9508      |     1.10133   |      0.2460975   |       24.86231   |   04:54:21   |   68:18:56   |
6800        |   -2.61242e+06   |   -2.60211e+06   |       -10314.3   |        11.8387      |     11.5255      |      1.1237   |      0.2465114   |       12.16899   |   04:58:37   |   68:12:48   |
6900        |   -2.61242e+06   |   -2.60211e+06   |       -10308.2   |        12.4217      |     12.1097      |     1.23713   |      0.2460871   |       10.33832   |   05:02:58   |   68:07:51   |
7000        |    -2.6124e+06   |   -2.60211e+06   |       -10293.8   |        10.8577      |     10.5091      |     1.39871   |      0.2470064   |       24.00826   |   05:07:19   |   68:02:55   |
7100        |   -2.61239e+06   |   -2.60211e+06   |       -10278.6   |        12.4863      |     13.0769      |     1.45256   |      0.2472595   |       14.62337   |   05:11:55   |   68:01:16   |
7200        |    -2.6124e+06   |   -2.60211e+06   |       -10287.9   |        11.3667      |     12.1468      |     1.24252   |      0.2471988   |       14.87732   |   05:16:01   |   67:53:06   |
7300        |   -2.61238e+06   |   -2.60211e+06   |       -10273.6   |        11.5552      |     11.9773      |      1.3948   |      0.2473783   |       24.57053   |   05:20:28   |   67:49:29   |
7400        |   -2.61237e+06   |   -2.60211e+06   |       -10261.8   |        11.0758      |     11.3922      |      1.2988   |      0.2471883   |       14.42354   |   05:25:02   |   67:47:18   |
