Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	kappa	p_inv	p_inv_indicator	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	sub_rate	sub_rate_vec[1]	sub_rate_vec[2]	sub_rate_vec[3]	sub_rate_vec[4]	sub_rate_vec[5]	TL
310	-2555884	-2555890	5.319578	2957123	1	0.0136259	0.0136562	0.00429172	0.11178	0.00231503	0.103564	0.0435606	0.125374	0.798961	0.0035218	0.00838337	0.00399613	0.00461394	0.0319857	0.00477138	0.0162038	0.0028663	0.471316	0.00978666	0.0836162	0.130054	0.281912	0.0233156	4.295444e-06	0	0	0.0995559	0.524243	0.32322	0.0529817	2	0.999261	0.999811	1.00019	1.00074	0.9144539	0.0347779	0.00419215	0.221966	0.437523	0.914454	1.293471
320	-2555892	-2555894	1.840119	7.233832e+07	1	0.0132941	0.0136562	0.00429172	0.111354	0.00230429	0.103564	0.0435606	0.125374	0.798961	0.00363838	0.00838337	0.00366951	0.00476433	0.0313395	0.00477138	0.0162433	0.002812	0.059992	0.00101023	0.159011	0.104629	0.0765207	0.598838	1.388629e-06	0	0	0.24953	0.0781102	0.283964	0.388396	2	0.999851	0.999962	1.00004	1.00015	0.9145688	0.205643	0.593669	0.00503365	0.758601	0.914569	1.291981
330	-2555866	-2555893	26.96793	1e+08	0	0.0132941	0.014054	0.00411736	0.111354	0.00225895	0.103564	0.0435606	0.125861	0.798961	0.00366272	0.00870961	0.00392597	0.00481757	0.0313395	0.0047536	0.0162433	0.00278826	0.00570315	0.00408989	0.745735	0.0103748	0.14756	0.0865372	2.175182e-06	0	0	0.0658585	0.302866	0.00621132	0.625064	2	0.999873	0.999968	1.00003	1.00013	0.9145688	0.0414515	0.0640751	0.00547246	0.0386987	0.914569	1.293265
340	-2555892	-2555896	3.981688	4.137293e+07	1	0.013674	0.0137498	0.00426042	0.111354	0.00218435	0.10421	0.0436154	0.126391	0.798961	0.00364529	0.00870961	0.00404175	0.0043554	0.0313395	0.0047536	0.0158227	0.00281738	0.109844	0.0693702	0.14101	0.268373	0.202278	0.209123	2.133893e-06	0	0	0.142946	0.238987	0.00412322	0.613944	2	0.999802	0.999949	1.00005	1.0002	0.9136722	0.00145234	0.430363	0.392073	0.219467	0.913672	1.293885
350	-2555887	-2555893	6.781574	9.8986e+07	1	0.013674	0.0140091	0.00434264	0.11299	0.00224536	0.10421	0.0442493	0.126391	0.798961	0.00378402	0.00871412	0.00404175	0.00450834	0.0320872	0.0047536	0.0162136	0.00273793	0.192448	0.0289832	0.0985385	0.166467	0.341164	0.172399	1.147589e-06	0	0	0.0508021	0.120835	0.732799	0.0955644	2	0.999872	0.999967	1.00003	1.00013	0.9136722	0.00942331	0.0523866	0.236999	0.0268535	0.913672	1.297913
360	-2555883	-2555892	8.95089	4.492318e+07	1	0.013674	0.013934	0.00437174	0.112634	0.00235364	0.10421	0.0442493	0.125578	0.798961	0.00378402	0.00871412	0.00396406	0.00466923	0.0320872	0.00493646	0.016274	0.00282714	0.0997794	0.112082	0.256002	0.292377	0.136734	0.103026	4.667532e-06	0	0	0.00995054	0.150123	0.242466	0.597461	2	0.999811	0.999951	1.00005	1.00019	0.909345	0.00869178	0.0421699	0.229586	0.00431569	0.909345	1.297223
370	-2555888	-2555893	5.61898	4.59863e+07	1	0.013674	0.013934	0.00430136	0.112634	0.00209094	0.10421	0.0440464	0.125452	0.798961	0.00378402	0.00858085	0.00400424	0.00466923	0.0322392	0.00493646	0.0164816	0.00290511	0.087072	0.184802	0.0891894	0.285682	0.181225	0.17203	9.022713e-07	0	0	0.594809	0.357216	0.0308714	0.0171038	2	0.999812	0.999952	1.00005	1.00019	0.909345	0.0182339	0.0379255	0.300289	0.0491094	0.909345	1.296906
380	-2555866	-2555893	27.02806	1e+08	0	0.0133951	0.013934	0.00430136	0.112634	0.00209094	0.10421	0.0444731	0.126627	0.798961	0.00359743	0.00858085	0.00392908	0.00474261	0.0322392	0.00498557	0.0164816	0.00293101	0.169039	0.134195	0.184938	0.162043	0.129212	0.220574	1.05545e-05	0	0	0.0238874	0.216171	0.467725	0.292217	2	0.999873	0.999968	1.00003	1.00013	0.909345	0.0967918	0.00363716	0.47205	0.0030537	0.909345	1.298115
390	-2555864	-2555890	25.4722	1e+08	0	0.0135338	0.013934	0.00442192	0.112634	0.00226145	0.10421	0.0442256	0.126627	0.798961	0.00359743	0.00860636	0.00404259	0.00474261	0.0322392	0.00494037	0.0164816	0.00293101	0.000838151	0.132726	0.318686	0.212161	0.15147	0.184119	2.725349e-06	0	0	0.212443	0.182127	0.595275	0.0101547	2	0.999873	0.999968	1.00003	1.00013	0.9116187	0.185518	0.0219109	0.0959784	0.00613215	0.911619	1.298392
400	-2555888	-2555893	5.236856	2.951432e+07	1	0.0134824	0.013934	0.00434714	0.112138	0.00234276	0.104661	0.0442256	0.126627	0.798961	0.00359743	0.00859815	0.0036237	0.00474261	0.0322392	0.00494037	0.0164816	0.00290702	0.0063189	0.10101	0.0149591	0.498388	0.295858	0.0834662	8.00007e-06	0	0	0.195337	0.174314	0.363934	0.266414	2	0.999766	0.99994	1.00006	1.00023	0.9116187	0.584904	0.158182	0.0242282	0.00658752	0.911619	1.297849
410	-2555886	-2555894	7.554713	6.451832e+07	1	0.0133607	0.013934	0.00440478	0.112295	0.00234215	0.10315	0.0442256	0.126627	0.798961	0.00366049	0.00859815	0.00424568	0.00430222	0.0322392	0.0049634	0.0162736	0.00273899	0.0109293	0.138272	0.0707633	0.221367	0.210585	0.348084	8.827493e-06	0	0	0.374085	0.041015	0.0573646	0.527535	2	0.999841	0.999959	1.00004	1.00016	0.9116187	0.0626192	0.0322964	0.168338	0.00433749	0.911619	1.296323
420	-2555897	-2555893	-3.804353	8.421006e+07	1	0.0139379	0.013934	0.00430713	0.112429	0.00224821	0.103984	0.0442818	0.126627	0.798961	0.00368917	0.00846647	0.00409082	0.00473978	0.0321519	0.00486061	0.0162736	0.00277727	0.0832532	0.0205577	0.32126	0.214209	0.246793	0.113927	8.591675e-06	0	0	0.527781	0.0946097	0.124999	0.252611	2	0.999861	0.999965	1.00004	1.00014	0.9116187	0.928888	0.201539	0.846541	0.787492	0.911619	1.297761
430	-2555869	-2555890	20.63241	1e+08	0	0.0132077	0.013934	0.00426496	0.112429	0.00232426	0.103984	0.0442818	0.126627	0.798961	0.00364313	0.00843123	0.00405924	0.00466908	0.031968	0.00497583	0.0162734	0.00291585	0.0375328	0.0393129	0.479823	0.169867	0.161146	0.112318	2.773889e-06	0	0	0.0746751	0.0799288	0.55135	0.294046	2	0.999873	0.999968	1.00003	1.00013	0.9116187	0.013297	0.0602244	0.601722	0.636891	0.911619	1.296951
440	-2555884	-2555891	7.770527	3.236522e+07	1	0.0138217	0.013934	0.00425186	0.112429	0.00223248	0.103984	0.0444105	0.126136	0.799428	0.00358833	0.00843123	0.00402034	0.00464215	0.031968	0.0048089	0.0163769	0.00285884	0.0757549	0.060842	0.401557	0.184872	0.191257	0.085717	1.325037e-05	0	0	0.350933	0.0178329	0.555583	0.0756518	2	0.999777	0.999943	1.00006	1.00022	0.9109577	0.0127251	0.242645	0.0205393	0.018591	0.910958	1.297324
450	-2555888	-2555895	7.408902	2.984389e+07	1	0.0134438	0.013911	0.00438141	0.112429	0.0022601	0.104429	0.0436742	0.126136	0.799428	0.00365164	0.00859634	0.0035548	0.00504558	0.031968	0.00483563	0.0163769	0.00309386	0.163147	0.305525	0.100717	0.0280367	0.229397	0.173177	3.014387e-06	0	0	0.573309	0.147229	0.00404403	0.275418	2	0.999767	0.999941	1.00006	1.00023	0.9128971	0.120245	0.361999	0.020666	0.00187971	0.912897	1.297216
460	-2555862	-2555895	32.39759	1e+08	0	0.0134658	0.0138391	0.00441387	0.11227	0.00223128	0.104429	0.0435881	0.126136	0.799428	0.00368213	0.00866935	0.00368556	0.00487673	0.031968	0.0049047	0.0160517	0.00309386	0.559471	0.138178	0.0346143	0.100225	0.144245	0.023266	8.64095e-06	0	0	0.54078	0.00731083	0.252776	0.199133	2	0.999873	0.999968	1.00003	1.00013	0.9127536	0.0012014	0.00684886	0.209388	0.0013854	0.912754	1.296734
470	-2555878	-2555888	10.00332	4.445067e+07	1	0.0132523	0.0140553	0.00421523	0.11227	0.00226813	0.103578	0.0435881	0.126136	0.799428	0.0035275	0.00875054	0.00405182	0.0046937	0.031968	0.00487289	0.0163035	0.00292468	0.0461097	0.0364819	0.535039	0.14301	0.0271466	0.212213	1.493697e-06	0	0	0.156111	0.337444	0.281336	0.225109	2	0.999809	0.999951	1.00005	1.00019	0.9127536	0.00700342	0.158426	0.00141788	0.0813688	0.912754	1.295884
480	-2555863	-2555890	27.28241	1e+08	0	0.0132162	0.0140553	0.00421523	0.11227	0.00221592	0.103243	0.0442104	0.126136	0.799403	0.0035275	0.00875054	0.00410414	0.00468836	0.0317791	0.00487289	0.0163035	0.00281799	0.107247	0.140355	0.152524	0.297858	0.19375	0.108264	3.084319e-06	0	0	0.189699	0.169538	0.00801058	0.632752	2	0.999873	0.999968	1.00003	1.00013	0.912554	0.591809	0.00147793	0.0907898	0.0050532	0.912554	1.295809
