Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
31	1	-84.99969	-70.10662	-14.89307	4.364805e+07	1	0.00544837	0.0725604	0.00787549	0.0945419	0.162617	0.110347	0.0930467	0.15305	0.0997384	0.179318	0.208085	0.150633	0.0492152	0.26707	0.0158242	0.243515	0.14518	0.498242	0.49956	0.500347	0.501851	0	62000	0.055551	0.055551	1	0.936012	0.039724	0.466916	0.0647826	0.428577	0.0940777	0.354808	0.645192	0.905922	1	0.7703535	1	0.999808	0.999951	1.00005	1.00019	2.058065
32	0	-52.33169	-60.23624	7.904548	1e+08	0	0.0596593	0.0256393	0.0316593	0.0554165	0.133217	0.181417	0.158337	0.0568898	0.0664553	0.369849	0.0933285	0.0208555	0.0299525	0.0783046	0.0460899	0.17955	0.135546	0.498242	0.49956	0.500347	0.501851	0	62000	0.1032114	0.1032114	1	0.2184827	0.0067545	0.0928702	0.439253	0.461122	0.0377938	0.297204	0.702796	0.962206	1	0.4317641	1	0.999873	0.999968	1.00003	1.00013	1.722167
33	1	-83.96626	-69.15743	-14.80883	3.98979e+07	1	0.00854387	0.0889002	0.00759082	0.0802519	0.156377	0.110347	0.0846188	0.21049	0.118409	0.208423	0.207202	0.150633	0.0794508	0.160265	0.0158242	0.191918	0.206307	0.498242	0.49956	0.500347	0.501851	0	62000	0.09744858	0.09744858	1.378807	1.378807	0.0483155	0.523807	0.198489	0.229388	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999799	0.999949	1.00005	1.0002	2.085552
34	0	-73.94402	-61.0445	-12.89952	3.533919e+07	1	0.0376809	0.0288389	0.0439068	0.0554165	0.130375	0.261369	0.172559	0.0481721	0.109099	0.271215	0.157126	0.0208555	0.0418331	0.0783046	0.0460899	0.17955	0.177121	0.498242	0.49956	0.500347	0.501851	0	62000	1.151161	1.151161	1	0.2320002	0.0228281	0.162715	0.3138	0.500657	0.00200321	0.177861	0.822139	0.997997	1	0.1708369	1	0.999786	0.999945	1.00005	1.00021	1.859513
35	1	-87.32051	-70.28825	-17.03226	4.941296e+07	1	0.00754534	0.119807	0.00759082	0.0583583	0.0968134	0.120807	0.0577764	0.21049	0.125302	0.164933	0.164345	0.150633	0.0794508	0.160265	0.0196326	0.191918	0.206307	0.246479	0.428382	0.571617	0.753521	1	2.750752	1	0.2287278	2.443886	2.443886	0.171086	0.510603	0.0947063	0.223606	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999819	0.999954	1.00005	1.00018	1.941974
36	0	-74.65138	-63.4052	-11.24618	2.867209e+07	1	0.0376809	0.0288389	0.0439068	0.0542284	0.0969541	0.270729	0.172559	0.0481721	0.0868088	0.192614	0.110284	0.0252839	0.0418331	0.083247	0.0460899	0.121026	0.118088	0.498242	0.49956	0.500347	0.501851	0	62000	2.406947	2.406947	0.5787404	0.5787404	0.0164746	0.354038	0.268172	0.361315	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999763	0.99994	1.00006	1.00024	1.578343
37	1	-65.77821	-70.14544	4.367231	1e+08	0	0.00754534	0.119807	0.00381939	0.070763	0.0741211	0.120807	0.064162	0.21049	0.125302	0.233865	0.164345	0.150633	0.0794508	0.0980011	0.0133785	0.137704	0.237938	0.122925	0.37378	0.62622	0.877075	1	0.9831018	1	0.4065701	0.9853956	0.9853956	0.217277	0.423265	0.211762	0.147696	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.912132
38	0	-56.12406	-62.81199	6.687937	1e+08	0	0.040507	0.0288389	0.0439068	0.0454172	0.0959993	0.173525	0.127699	0.0481721	0.0868088	0.192614	0.123738	0.0252839	0.0418331	0.083247	0.0460899	0.127524	0.118088	0.00175861	0.174389	0.825611	0.998241	1	0.1662364	1	1.341777	1	1.879195	0.0216688	0.325763	0.371317	0.281251	8.42662e-07	0.0777586	0.922241	0.999999	1	0.0626633	2	0.999873	0.999968	1.00003	1.00013	1.449291
39	1	-64.34709	-69.96507	5.617978	1e+08	0	0.00754534	0.095009	0.00279308	0.0948213	0.0829484	0.114239	0.064162	0.21049	0.123116	0.222159	0.164345	0.138296	0.0794508	0.0980011	0.0133785	0.137704	0.149758	0.17851	0.401974	0.598026	0.821489	1	1.541876	1	0.6543749	0.1081427	0.1081427	0.0587923	0.199142	0.0379663	0.7041	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.798216
40	0	-73.71872	-63.25121	-10.46751	9.536016e+07	1	0.0336351	0.0337439	0.0439068	0.0577145	0.0741349	0.20421	0.127699	0.0522584	0.0570966	0.187537	0.0815714	0.051015	0.0328208	0.126748	0.0418942	0.127524	0.106026	0.498242	0.49956	0.500347	0.501851	0	62000	2.335486	2.335486	1.259619	1.259619	0.0306777	0.160578	0.546698	0.262046	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.99987	0.999967	1.00003	1.00013	1.439535
41	1	-60.90017	-67.08116	6.180993	1e+08	0	0.00754534	0.095009	0.00426356	0.172656	0.121434	0.115955	0.0599693	0.139304	0.123116	0.306173	0.131274	0.118942	0.128466	0.0980011	0.0133785	0.0987918	0.149758	0.498242	0.49956	0.500347	0.501851	0	62000	0.6749833	0.6749833	0.2472872	0.2472872	0.159919	0.149924	0.356054	0.334104	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.884036
