Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
410	-103.8125	-58.72895	-45.08356	936731	1	0.129425	0.00518704	0.193404	0.163567	0.192377	0.0190312	0.12222	0.0357936	0.0669518	0.0221917	0.447877	0.072764	0.0764432	0.0631547	0.131032	0.0893722	0.119391	0.497414	0.499356	0.500596	0.502634	1	29648.7	1	50475.24	60779.93	60779.93	0.515525	0.0283823	0.255459	0.200634	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.998687	0.999664	1.00034	1.00131	1.950183
420	-77.84165	-56.92188	-20.91976	1e+08	0	0.23817	0.00604533	0.0626065	0.0860373	0.0946344	0.0714704	0.0309174	0.049696	0.106983	0.0448807	0.0972379	0.0806577	0.086083	0.15112	0.0229216	0.0487161	0.0976947	0.497893	0.499464	0.50045	0.502193	1	43712.24	1	59589.44	30817.28	30817.28	0.641486	0.0766592	0.122991	0.158864	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.375872
430	-78.10828	-55.32065	-22.78764	1e+08	0	0.182736	0.0244312	0.0012749	0.182757	0.0165627	0.0690182	0.0928546	0.133128	0.029514	0.0690218	0.0702234	0.0675134	0.298221	0.0615202	0.015335	0.0400942	0.208453	0.497904	0.499545	0.50049	0.50206	1	46783.05	1	22361.32	497.3491	497.3491	0.488744	0.276923	0.156878	0.0774551	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.562659
440	-82.96186	-52.73721	-30.22466	9.659992e+07	1	0.168191	0.00747517	0.00728354	0.0719016	0.109954	0.0645521	0.0501375	0.0396434	0.0170256	0.191345	0.0977505	0.0142503	0.18801	0.0972751	0.130479	0.287129	0.0253803	0.498242	0.49956	0.500347	0.501851	0	62000	990.6309	990.6309	21876.89	21876.89	0.34167	0.282766	0.0890084	0.286555	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999871	0.999967	1.00003	1.00013	1.567782
450	-89.68583	-53.73151	-35.95432	1e+08	0	0.239487	0.0171037	0.0248322	0.0258782	0.01615	0.109564	0.146278	0.07504	0.0585234	0.186465	0.0432456	0.0547296	0.0639196	0.270035	0.0451191	0.204478	0.19499	0.495735	0.498916	0.501048	0.504301	1	11011.01	1	38122.4	1	32726.19	0.0888028	0.00769605	0.470586	0.432915	0.492791	0.49819	0.501833	0.507185	1	3898.715	1	0.999873	0.999968	1.00003	1.00013	1.775838
460	-75.79673	-54.37144	-21.42529	1e+08	0	0.233918	0.0542235	0.0553033	0.0864314	0.0324932	0.134609	0.0380999	0.109845	0.026565	0.0362594	0.0817237	0.0178209	0.0969535	0.037046	0.0557472	0.265362	0.0640226	0.49663	0.499142	0.500806	0.503422	1	17513.59	1	18268.43	56042.69	56042.69	0.023313	0.0167926	0.0487474	0.911147	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.426425
470	-90.30891	-54.59845	-35.71046	1e+08	0	0.134122	0.00384323	0.116587	0.152053	0.0500419	0.0306852	0.290005	0.125236	0.0124188	0.0572479	0.0185677	0.0432078	0.147758	0.0222307	0.117394	0.107823	0.322231	0.492906	0.498194	0.501789	0.507112	1	4002.594	1	15626.06	1	21414.38	0.12482	0.547625	0.0517103	0.275845	0.497665	0.499414	0.500521	0.502399	1	36050.19	1	0.999873	0.999968	1.00003	1.00013	1.751452
480	-86.31356	-59.57845	-26.73512	7.916539e+07	1	0.0430181	0.00823169	0.140167	0.227671	0.0335913	0.148375	0.0769437	0.0279896	0.051999	0.156108	0.0631081	0.034154	0.012024	0.00933053	0.0897852	0.0452364	0.0510957	0.498242	0.49956	0.500347	0.501851	0	62000	7774.82	7774.82	55187.6	55187.6	0.242494	0.194785	0.174759	0.387962	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999857	0.999964	1.00004	1.00014	1.218828
490	-89.06577	-59.03864	-30.02712	3.363087e+07	1	0.0562593	0.0366536	0.000677667	0.0106803	0.0556855	0.126488	0.0829323	0.124586	0.13668	0.225748	0.0740625	0.0909642	0.0509182	0.0562589	0.210618	0.0217771	0.187039	0.498242	0.49956	0.500347	0.501851	0	62000	40887.53	40887.53	14117.72	14117.72	0.64371	0.0565416	0.100617	0.199132	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999781	0.999944	1.00006	1.00022	1.548029
500	-83.57772	-56.42348	-27.15424	1e+08	0	0.178806	0.0242172	3.59849e-05	0.0715007	0.143321	0.22803	0.198826	0.054255	0.0174999	0.226738	0.0811437	0.00874936	0.270526	0.132668	0.154706	0.134067	0.0742295	0.497875	0.499566	0.500515	0.502044	1	46465.87	1	17709.5	15191.43	15191.43	0.0991518	0.279978	0.139987	0.480883	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.999319
