Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]
33	1	-2544242	-2544261	19.06803	0.004925	0.0129502	0.00387238	0.102286	0.00202514	0.0949717	0.0398853	0.114421	0.731496	0.00324088	0.00776242	0.0292035	0.00831237	0.00459078	0.00267591	0.00724808	0.0146743	0.271759	0	0.230037	0.223022	0	0.275183	0.271759	0.230037	0.223022	0.275183	0.281391	0.216551	0.218819	0.283239
34	0	-2544497	-2544516	19.02239	0.00577491	0.0127911	0.00442777	0.101896	0.00201771	0.0939718	0.0400417	0.118427	0.733833	0.00320713	0.00725856	0.00452811	0.0338421	0.00444439	0.00267309	0.00437965	0.0155914	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.28402	0.216887	0.216802	0.282291
35	1	-2544239	-2544258	19.02739	0.00503601	0.012717	0.00389907	0.102595	0.00213336	0.0944065	0.0399949	0.115928	0.734499	0.00329021	0.0075341	0.0293217	0.00802568	0.00465488	0.00244622	0.00730693	0.0148155	0.273768	0	0.229337	0.222549	0	0.274346	0.273768	0.229337	0.222549	0.274346	0.281391	0.216551	0.218819	0.283239
36	0	-2544507	-2544526	19.03282	0.00542079	0.0127308	0.00431175	0.102263	0.00209262	0.0948333	0.0405276	0.118676	0.730262	0.00326083	0.00803315	0.00432546	0.0344892	0.00445711	0.00265634	0.00426306	0.0154582	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
37	1	-2544240	-2544259	19.03105	0.00528284	0.0127914	0.00386713	0.10361	0.00205783	0.0947896	0.0399271	0.11502	0.73326	0.00341697	0.00761079	0.0296905	0.00763014	0.00443517	0.00250482	0.00761329	0.0147296	0.273768	0	0.229337	0.222549	0	0.274346	0.273768	0.229337	0.222549	0.274346	0.281391	0.216551	0.218819	0.283239
38	0	-2544505	-2544524	19.05068	0.00560137	0.0125115	0.00426218	0.10176	0.00202117	0.0949679	0.0404203	0.117936	0.730988	0.0032672	0.00732419	0.00401438	0.0337798	0.00435063	0.00255343	0.00454333	0.0159735	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
39	1	-2544241	-2544260	19.02346	0.00563902	0.0129366	0.00385009	0.102617	0.00193045	0.0945144	0.0402744	0.115173	0.735003	0.00328049	0.00747769	0.029491	0.00756629	0.00454945	0.00254365	0.00730995	0.0148404	0.273768	0	0.229337	0.222549	0	0.274346	0.273768	0.229337	0.222549	0.274346	0.281391	0.216551	0.218819	0.283239
40	0	-2544506	-2544525	19.00904	0.005715	0.0127067	0.00463131	0.101921	0.00191744	0.0947915	0.0399783	0.11929	0.732944	0.00332576	0.0074339	0.00428427	0.0338258	0.00451839	0.00281612	0.00449958	0.0158412	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
41	1	-2544237	-2544256	19.04935	0.00506604	0.0125581	0.00387284	0.102621	0.00212602	0.0952978	0.0403666	0.115626	0.731755	0.00332819	0.00780585	0.02919	0.00771965	0.0044293	0.00248577	0.00737695	0.0147833	0.273768	0	0.229337	0.222549	0	0.274346	0.273768	0.229337	0.222549	0.274346	0.281391	0.216551	0.218819	0.283239
42	0	-2544504	-2544523	19.04567	0.0055887	0.0127979	0.00441413	0.100544	0.00208207	0.0935355	0.0400445	0.118837	0.732912	0.00324802	0.00738148	0.004406	0.0339877	0.00426684	0.00259881	0.00426822	0.0158632	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
