Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
390	-240.2309	-224.6646	-15.56636	1e+08	0	0.149762	0.00829448	0.00903598	0.115995	0.0019488	0.00409097	0.0512978	0.0349168	0.0184342	0.0259386	0.188458	0.000390129	0.0668979	0.0631051	0.000633429	0.0456659	0.0556692	0.498242	0.49956	0.500347	0.501851	0	62000	20705.13	20705.13	1	44245.58	0.192088	0.285655	0.38159	0.140666	0.496985	0.4993	0.500747	0.502968	1	22567.23	3	0.999873	0.999968	1.00003	1.00013	0.8405341
400	-266.2736	-230.4758	-35.79783	6.618622e+07	1	0.225118	0.00425955	0.0163025	0.117184	0.0146621	0.0235349	0.04657	0.026774	0.0292054	0.0156623	0.163636	0.00414314	0.0351965	0.195099	0.00337969	0.0888988	0.0119865	0.498242	0.49956	0.500347	0.501851	0	62000	7277.015	7277.015	1	18691.98	0.264193	0.0690215	0.401123	0.265663	0.497774	0.499512	0.500529	0.502185	1	41509.66	3	0.999844	0.999961	1.00004	1.00016	1.021613
410	-265.6024	-219.6793	-45.92313	6.071713e+07	1	0.210625	0.0256026	0.0115463	0.128253	0.00457834	0.0295324	0.0147577	0.0249084	0.0293384	0.00573532	0.13378	0.00242622	0.0787473	0.137348	0.00890882	0.0687151	0.0158514	0.498074	0.499567	0.500427	0.501931	1	54294.47	1	43939.43	1	36941.59	0.123925	0.376004	0.000953192	0.499118	0.496855	0.499273	0.500787	0.503084	1	20819.24	2	0.999837	0.999958	1.00004	1.00016	0.9306546
420	-238.3603	-222.2446	-16.11571	1e+08	0	0.123147	0.0146996	0.0170609	0.135438	0.00439454	0.00806913	0.0181915	0.013563	0.00999974	0.00230222	0.134437	0.067933	0.135321	0.152445	0.0241874	0.0254302	0.00884954	0.498242	0.49956	0.500347	0.501851	0	62000	57945.48	57945.48	1	56385.53	0.241209	0.561036	0.153137	0.0446175	0.49447	0.498614	0.501393	0.505523	1	6613.351	2	0.999873	0.999968	1.00003	1.00013	0.8954692
430	-256.1853	-221.5802	-34.60509	7.465686e+07	1	0.109634	0.0235419	0.0149924	0.206715	0.00360694	0.0261446	0.00615303	0.0034171	0.0415356	0.00198175	0.134941	0.00696392	0.0963567	0.110525	0.0092409	0.0857855	0.0208034	0.498242	0.49956	0.500347	0.501851	0	62000	14710.4	14710.4	1	4595.342	0.0875362	0.349344	0.345608	0.217511	0.485446	0.496288	0.503709	0.514557	1	952.9168	2	0.999853	0.999962	1.00004	1.00015	0.9023389
440	-267.3318	-221.4203	-45.91156	4.524767e+07	1	0.198408	0.00188632	0.00955571	0.140907	0.0132821	0.0136347	0.0193236	0.00806606	0.018648	0.00683422	0.149966	0.0354941	0.0585488	0.137559	0.0257963	0.0783753	0.013212	0.497655	0.499492	0.50057	0.502282	1	37732.46	1	50885.78	1	9529.607	0.314919	0.00998562	0.138197	0.536898	0.497574	0.499453	0.500583	0.502389	1	34844.37	2	0.999811	0.999952	1.00005	1.00019	0.9294971
450	-262.7901	-227.801	-34.98913	9.674784e+07	1	0.168754	0.0164437	0.0412594	0.0826748	0.00611854	0.0337074	0.0398668	0.0516061	0.0432576	0.0053708	0.0926773	0.0850958	0.0638167	0.0717829	0.0278315	0.106049	0.00443027	0.498242	0.49956	0.500347	0.501851	0	62000	42423.53	42423.53	1	10851.86	0.237292	0.148686	0.112236	0.501786	0.497655	0.499472	0.500559	0.502314	1	37207.68	2	0.999871	0.999967	1.00003	1.00013	0.9407426
460	-274.3438	-227.4841	-46.85972	9.604284e+07	1	0.213109	0.00579823	0.00475095	0.0605437	0.00248408	0.0405549	0.0280417	0.0398974	0.00633864	0.00130777	0.115548	0.0136924	0.047719	0.243563	0.012596	0.136788	0.0515809	0.496653	0.499207	0.500834	0.503307	1	18243.84	1	55446.75	1	20291.73	0.480905	0.0114743	0.376674	0.130947	0.498085	0.499611	0.500446	0.501858	1	56761.12	2	0.99987	0.999968	1.00003	1.00013	1.024314
470	-258.4207	-223.2911	-35.12963	9.758347e+07	1	0.200866	0.0596777	0.0128379	0.183074	0.00388552	0.0337303	0.0324973	0.00974087	0.0310366	0.00566155	0.155949	0.0154916	0.0296991	0.131052	0.0187935	0.0166993	0.0141	0.498242	0.49956	0.500347	0.501851	0	62000	25194.32	25194.32	1	6978.734	0.445139	0.00687549	0.475043	0.0729432	0.498191	0.499598	0.500391	0.50182	1	61338.08	3	0.999871	0.999966	1.00003	1.00013	0.9547927
480	-267.4837	-222.8611	-44.62263	3.794846e+07	1	0.140416	0.00892522	0.0275794	0.104861	0.0164448	0.0043298	0.0142716	0.00433488	0.0586079	0.0138647	0.14937	0.0738876	0.0214769	0.105327	0.0214403	0.0293271	0.00614026	0.497626	0.499452	0.50056	0.502362	1	36015.63	1	41020.87	1	3113.456	0.00885946	0.482977	0.381411	0.126752	0.495091	0.498755	0.50122	0.504934	1	8337.883	2	0.999794	0.999947	1.00005	1.00021	0.8006046
