Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	pi_scale
590	-211.0642	-225.3396	14.27542	0.264735	0.0613399	0.00325081	0.12512	0.00123464	0.0345667	0.0185495	0.0323692	0.0251941	0.00789629	0.146983	0.130609	0.180483	0.019371	0.0801196	0.0230956	0.0120555	1.319073
600	-202.8791	-220.6907	17.81158	0.178311	0.0111572	0.00765446	0.117049	0.00125757	0.00693775	0.0123444	0.0238621	0.0230541	0.0528545	0.137202	0.0794967	0.103158	0.0269829	0.0143825	0.00489936	0.0572377	0.8623814
610	-202.0702	-220.0685	17.99832	0.144551	0.0283268	0.000936801	0.162156	0.0120934	0.0265557	0.0596338	0.0112738	0.0400757	0.00643377	0.155181	0.0114537	0.066456	0.0711131	0.00150984	0.0145767	0.0334199	0.7992225
620	-211.4714	-224.4456	12.97423	0.246724	0.0120087	0.00147627	0.161024	0.0184178	0.0199312	0.112124	0.0424817	0.00833914	0.00483119	0.15517	0.0576006	0.262529	0.0720359	0.0227255	0.00869897	0.122858	0.9859222
630	-207.5805	-224.1042	16.52368	0.184882	0.064905	0.00911329	0.0497903	0.0762577	0.0179136	0.0372499	0.0330633	0.0320203	0.00452936	0.105583	0.0187916	0.228157	0.0543977	0.0137356	0.00145797	0.0155845	1.261524
640	-205.4351	-221.9425	16.50736	0.101867	0.00613084	0.0076852	0.152606	0.0147523	0.0501251	0.0223038	0.0278143	0.0342243	0.00246199	0.136792	0.00152644	0.196443	0.0725024	0.145784	0.0219648	0.00349686	0.7646134
650	-211.6942	-225.5005	13.80633	0.193082	0.0276754	0.00624497	0.200669	0.0453145	0.0453039	0.12711	0.000733558	0.0329135	0.0132442	0.128684	0.00939526	0.08889	0.108421	0.103782	0.0187321	0.0345097	1.655902
660	-207.0062	-224.522	17.51581	0.123938	0.0345121	0.000804421	0.144388	0.00747937	0.0134422	0.0878104	0.0789682	0.0107893	0.0109186	0.128876	0.0123789	0.154305	0.0375702	0.0112698	0.0157071	0.0222494	0.7857987
670	-208.0369	-223.7748	15.73788	0.150529	0.00871267	0.0155597	0.215972	0.00590283	0.0198189	0.0426007	0.0449692	0.116847	0.000916558	0.144104	0.0239694	0.0673465	0.0931296	0.0833567	0.00537025	0.0176523	0.9448388
680	-207.5166	-220.9298	13.41315	0.229005	0.0723393	0.00600274	0.191659	0.00459673	0.0254998	0.0151646	0.0213848	0.0904507	0.00151825	0.157981	0.0206032	0.201575	0.102052	0.100815	0.0360651	0.0110746	0.9590963
690	-218.4554	-230.5237	12.06833	0.395671	0.0326427	0.0615478	0.142461	0.0147596	0.00455496	0.17292	0.011697	0.0266778	0.0231464	0.189032	0.0657896	0.189705	0.0545968	0.0106648	0.0166938	0.0212587	0.8464393
700	-205.2492	-221.3584	16.10924	0.222077	0.00909827	0.00979172	0.146463	0.00258912	0.00317462	0.0227063	0.0174019	0.0247647	0.00494433	0.112613	0.0814986	0.251614	0.0681031	0.00637587	0.0166304	0.00483106	1.095126
710	-216.3796	-229.7286	13.34904	0.218234	0.0221276	0.0168173	0.0867054	0.00790962	0.00143133	0.0260393	0.00142848	0.0496287	0.00494275	0.0914995	0.0649078	0.297457	0.174077	0.0605203	0.076636	0.018299	1.80161
720	-208.7708	-224.1993	15.42845	0.177382	0.011764	0.00998182	0.141109	0.0242318	0.0188076	0.091977	0.00297751	0.160685	0.000876439	0.0769613	0.0487694	0.199969	0.0820519	0.00399055	0.0183192	0.0275338	0.8504891
730	-211.2639	-223.7545	12.49063	0.336241	0.0165974	0.00736337	0.113873	0.0189081	0.0544429	0.0651051	0.027266	0.020407	0.0277139	0.17262	0.0639397	0.158042	0.0594347	0.169236	0.00317315	0.0135809	1.517167
740	-203.4443	-220.3259	16.8816	0.141179	0.0239883	0.0394799	0.124625	0.0169935	0.0217606	0.0302944	0.0333858	0.0319016	0.0186094	0.0939348	0.00559614	0.221789	0.0739516	0.00881042	0.00408941	0.0462792	1.001583
750	-207.9166	-224.252	16.3354	0.121111	0.0181172	0.00166725	0.0931066	0.00470448	0.0185868	0.107979	0.024408	0.0310376	0.0149998	0.170155	0.0454235	0.160184	0.0952598	0.0240688	0.0293865	0.0197256	1.117185
760	-214.3438	-229.0579	14.7141	0.360537	0.0127604	0.0260962	0.063443	0.0486047	0.003295	0.0922424	0.0575425	0.0144073	0.0111674	0.107684	0.0162274	0.194528	0.0578073	0.00266881	0.0371011	0.0178049	1.310174
770	-205.5655	-222.3284	16.76283	0.216324	0.0661792	0.000491637	0.123123	0.0362339	0.0295042	0.0391841	0.0205022	0.0600606	0.00348686	0.0607045	0.00397277	0.144151	0.0903562	0.0210573	0.0339218	0.0123236	0.873399
780	-204.996	-220.8672	15.87118	0.194349	0.0779461	0.000981931	0.0908746	0.00289453	0.00748723	0.00188045	0.0472028	0.0599506	0.021056	0.126772	0.0401031	0.165303	0.0351284	0.0795501	0.0183	0.00579367	1.688156
790	-202.3072	-219.2571	16.94988	0.168543	0.0138521	0.0191999	0.107051	0.0275988	0.0349941	0.0177985	0.0168141	0.0676877	0.000597586	0.107962	0.0157911	0.154578	0.0736764	0.00790598	0.102151	0.0246352	0.7020911
800	-203.0666	-219.2109	16.14426	0.231076	0.00961155	0.0167602	0.156943	1.35875e-05	0.0445156	0.052772	0.0109555	0.0122702	0.0117512	0.173761	0.0027325	0.139412	0.088036	0.0154329	0.0714338	0.00670004	0.6758695
810	-211.4786	-225.7976	14.319	0.102549	0.0220405	0.00651341	0.176654	0.00344874	0.0560314	0.09643	0.0230515	0.00547541	0.00129131	0.247709	0.0364065	0.314587	0.0518896	0.0216287	0.0331984	0.000154142	0.9407686
820	-203.7679	-221.1043	17.33634	0.208961	0.0458129	0.0187656	0.110177	0.0120717	0.0054702	0.0188629	0.0171228	0.0882943	0.00729228	0.0815414	0.0143396	0.105157	0.0349619	0.0146028	0.0436619	0.00860691	1.607756
830	-203.1668	-219.4561	16.28929	0.16633	0.00465301	0.0357736	0.126644	0.0223299	0.00735514	0.0201702	0.0266831	0.038364	0.0225492	0.162851	0.0115066	0.192858	0.0563578	0.0181889	0.0622147	0.00889882	1.125515
